timestamp,open,high,low,close,volume
1640995200000,19.5122,19.6414,19.5091,19.6019,5517.27978451
1640996100000,19.5986,19.6611,19.5557,19.6512,2068.84547116
1640997000000,19.6504,19.8396,19.639,19.811,4024.85488218
1640997900000,19.8077,20.0588,19.7848,19.9802,10389.07583417
1640998800000,19.9796,20.1191,19.9076,20.116,2957.96488302
1640999700000,20.1011,20.2082,20.0814,20.1696,4259.54389529
1641000600000,20.1721,20.2031,20.0861,20.0968,1919.71039162
1641001500000,20.0896,20.1069,19.9651,19.979,3908.87808465
1641002400000,19.9862,20.0911,19.9862,20.031,2840.47713554
1641003300000,20.0457,20.1243,20.0457,20.0596,1071.68217403
1641004200000,20.0622,20.0676,19.9845,20.0122,1466.10149898
1641005100000,20.0219,20.0291,19.8463,19.8799,4447.86749331
1641006000000,19.8799,19.8953,19.8329,19.8908,2159.1198991
1641006900000,19.887,19.9158,19.7465,19.7873,6053.83392264
1641007800000,19.7866,19.8052,19.74,19.7818,4508.71538115
1641008700000,19.785,19.8024,19.732,19.7735,3508.95169433
1641009600000,19.7706,19.8151,19.6447,19.6612,3588.89755533
1641010500000,19.6631,19.714,19.6106,19.6751,4225.62875524
1641011400000,19.6757,19.7045,19.6292,19.6749,4236.53036731
1641012300000,19.6737,19.7003,19.5524,19.5526,3359.47703922
1641013200000,19.5531,19.6263,19.5378,19.618,4953.00493705
1641014100000,19.6243,19.942,19.5931,19.9069,9692.37930841
1641015000000,19.9055,19.99,19.8309,19.8536,9570.68333102
1641015900000,19.8402,19.8471,19.7526,19.7929,4360.39680242
1641016800000,19.8185,19.8874,19.7543,19.8822,3068.8584294
1641017700000,19.8693,19.8693,19.764,19.764,2392.99464353
1641018600000,19.7691,19.8206,19.736,19.736,2493.40469052
1641019500000,19.7408,19.7875,19.6751,19.693,4425.1999814
1641020400000,19.6944,19.7437,19.6345,19.7018,2643.94631442
1641021300000,19.6977,19.7465,19.6864,19.7407,2846.60703162
1641022200000,19.7406,19.8655,19.7251,19.8655,879.69564094
1641023100000,19.8651,19.8874,19.7365,19.8023,5464.80433166
1641024000000,19.803,19.8537,19.7793,19.851,1798.74599923
1641024900000,19.8449,19.8983,19.8361,19.8671,3172.79624958
1641025800000,19.8507,19.8758,19.7934,19.8504,1918.71538019
1641026700000,19.8493,19.902,19.8018,19.8284,2396.28578264
1641027600000,19.8335,19.9166,19.8032,19.9147,1253.69731727
1641028500000,19.9147,19.9362,19.8792,19.8824,7031.90121815
1641029400000,19.8848,19.9127,19.7137,19.7563,3268.57186992
1641030300000,19.7399,19.8128,19.7122,19.7666,1718.30478698
1641031200000,19.7701,19.8686,19.7664,19.8042,3213.99033945
1641032100000,19.7934,19.7934,19.6168,19.6452,3934.55311712
1641033000000,19.6496,19.7476,19.5473,19.7292,4092.75909171
1641033900000,19.7368,19.7759,19.6316,19.646,2563.22244532
1641034800000,19.644,19.7602,19.644,19.7533,2157.95966613
1641035700000,19.7462,19.7851,19.7034,19.7284,1440.88486589
1641036600000,19.7296,19.7322,19.6279,19.7069,2466.02465343
1641037500000,19.7037,19.743,19.6064,19.6064,8254.80135287
1641038400000,19.6086,19.7247,19.6085,19.7247,1962.36216153
1641039300000,19.718,19.718,19.6672,19.6804,1666.14884676
1641040200000,19.6894,19.8185,19.6847,19.7773,4969.73690384
1641041100000,19.7846,19.84,19.7828,19.8174,1331.85193559
1641042000000,19.8231,19.8799,19.8,19.8758,2395.02285455
1641042900000,19.8727,19.8868,19.7929,19.807,1924.19026233
1641043800000,19.8145,19.845,19.7497,19.845,2654.73318045
1641044700000,19.8415,19.8415,19.7743,19.7999,1596.44352977
1641045600000,19.7873,19.8578,19.7854,19.8418,1043.11703193
1641046500000,19.8464,19.8998,19.8464,19.875,1889.34149933
1641047400000,19.8762,19.8928,19.7588,19.8326,2754.03270165
1641048300000,19.8295,19.8568,19.7889,19.8273,5294.42491924
1641049200000,19.8225,19.9045,19.7967,19.8872,5746.05970442
1641050100000,19.8815,19.955,19.8567,19.9473,3088.56419019
1641051000000,19.947,20.1179,19.9299,20.0314,4633.2364398
1641051900000,20.0225,20.1086,19.9845,20.036,7801.19835724
1641052800000,20.0346,20.1377,19.9677,20.1048,5342.63256755
1641053700000,20.1019,20.1666,20.0651,20.1264,3023.82047363
1641054600000,20.126,20.1466,20.0774,20.088,2963.65035451
1641055500000,20.0966,20.1455,20.0549,20.1128,2303.54097561
1641056400000,20.1129,20.1348,19.992,20.0005,4225.9175423
1641057300000,20.0042,20.1457,19.9999,20.144,3477.35514067
1641058200000,20.1443,20.3492,20.1443,20.3242,8061.90159025
1641059100000,20.3253,20.3518,20.2412,20.3235,15143.08717512
1641060000000,20.3517,20.3517,20.2635,20.2904,10725.34176387
1641060900000,20.2947,20.4193,20.2862,20.3004,7603.13962677
1641061800000,20.3058,20.3515,20.2557,20.2995,8250.27431709
1641062700000,20.2917,20.3452,20.2826,20.3049,3611.71939241
1641063600000,20.31,20.3958,20.3097,20.3183,12630.58791115
1641064500000,20.3346,20.3358,20.2312,20.2627,5224.62869469
1641065400000,20.2613,20.275,20.1827,20.2162,4712.59073432
1641066300000,20.206,20.235,20.1959,20.2165,604.29201013
1641067200000,20.2103,20.3081,20.2079,20.3081,2731.7940443
1641068100000,20.2955,20.3546,20.2526,20.3481,2025.25520119
1641069000000,20.3483,20.4307,20.3375,20.3568,5974.29528779
1641069900000,20.3638,20.4073,20.3297,20.3363,3834.66308218
1641070800000,20.3374,20.4156,20.2925,20.3873,3909.88166997
1641071700000,20.3826,20.4095,20.3419,20.3647,5103.67228749
1641072600000,20.3755,20.4398,20.3418,20.4184,8760.69202023
1641073500000,20.4226,20.4348,20.3182,20.377,2923.39161524
1641074400000,20.3721,20.3989,20.2704,20.293,4628.39972387
1641075300000,20.3021,20.3665,20.2791,20.3651,3132.52626737
1641076200000,20.3651,20.4501,20.3226,20.436,8002.11973892
1641077100000,20.4419,20.4819,20.4029,20.4459,4623.25516949
1641078000000,20.4499,20.5352,20.3792,20.4195,8009.80760514
1641078900000,20.4209,20.5291,20.4209,20.4881,3570.19030436
1641079800000,20.4871,20.5525,20.4549,20.4926,6093.9472492
1641080700000,20.4925,20.7896,20.4821,20.7519,14257.54770781
1641081600000,20.753,20.7958,20.584,20.6695,11702.93396157
1641082500000,20.6654,20.8375,20.5749,20.8375,8611.72788836
1641083400000,20.8339,21.1096,20.8271,21.01,19528.30753506
1641084300000,21.0122,21.0883,20.9731,21.0648,6271.98680686
1641085200000,21.0571,21.1966,21.0275,21.1891,7371.5712698
1641086100000,21.1895,21.3135,21.114,21.1468,10360.34973232
1641087000000,21.1474,21.2025,20.9876,21.0076,11030.4269956
1641087900000,21.0088,21.0174,20.9022,20.9806,6315.08949844
1641088800000,20.9741,20.9889,20.865,20.9248,5176.70752867
1641089700000,20.9248,20.9846,20.844,20.8813,10202.25699969
1641090600000,20.8842,20.9353,20.8529,20.896,3002.20540987
1641091500000,20.9091,20.9116,20.8439,20.8571,3657.81296223
1641092400000,20.8563,21.01,20.8489,20.9835,20458.81570158
1641093300000,20.9786,21.045,20.9433,21.0419,8330.74570514
1641094200000,21.0411,21.0741,20.9906,21.0022,13620.45983478
1641095100000,21.0144,21.05,20.9547,21.0394,5846.03245303
1641096000000,21.0405,21.0653,20.9761,21.0347,4059.89727766
